#;Klub;Z;V;R;P;Skóre;B;BK;+/-;RG;ŽK;ČK
1.;Fotbalový klub FC Zličín, z.s.;15;11;1;3;32:12;34;2,267;10;20;43;1
2.;"SK Aritma Praha, z.s. ""B""";15;10;3;2;37:17;33;2,2;9;20;29;1
3.;FC Slavoj Vyšehrad, a.s.;15;9;4;2;39:14;31;2,067;7;25;36;2
4.;"FK VIKTORIA ŽIŽKOV a.s. ""B""";15;10;1;4;32:10;31;2,067;7;22;20;1
5.;"FK Motorlet Praha s.r.o. ""B""";15;8;4;3;29:11;28;1,867;7;18;23;1
6.;AFK Slavoj Podolí Praha, z.s.;15;6;5;4;28:25;23;1,533;-1;3;41;1
7.;SC Olympia Radotín z.s.;15;7;2;6;22:23;23;1,533;5;-1;42;2
8.;Spartak Kbely z.s.;15;6;4;5;27:23;22;1,467;-2;4;26;1
9.;SK Střešovice 1911, z.s.;15;6;2;7;25:24;20;1,333;-4;1;31;1
10.;"FK Admira Praha z.s. ""B""";15;4;5;6;20:24;17;1,133;-7;-4;25;1
11.;Sokol Kolovraty;15;4;5;6;22:29;17;1,133;-7;-7;48;4
12.;FK Dukla Jižní Město z.s.;15;4;3;8;29:35;15;1;-6;-6;35;2
13.;"FC TEMPO PRAHA, z.s. ""B""";15;3;5;7;22:33;14;0,933;-7;-11;25;1
14.;SK Slovan Kunratice z.s.;15;3;1;11;18:42;10;0,667;-11;-24;27;2
15.;SK Čechie Uhříněves, z.s.;15;2;3;10;17:40;9;0,6;-12;-23;34;1
16.;SK Třeboradice z.s.;15;2;2;11;15:52;8;0,533;-13;-37;31;1
